cardId,name,issuer,network,currency,isBusiness,annualFee,isAnnualFeeWaived,universalCashbackPercent,url,imageUrl,credits,offers,historicalOffers,discontinued,offerAmount,offerSpend,offerUrl,offerDays,countsTowards524
20594480e9f5656485a12e13389f60c7,Premium Rewards Elite,BANK_OF_AMERICA,VISA,BANK_OF_AMERICA,false,550,false,1,https://www.bankofamerica.com/credit-cards/products/premium-rewards-elite-credit-card/,https://offeroptimist.com/images/bankofamerica/premium-rewards-elite.png,"300 Incidental Airline Statement Credits; 150 Annaul $150 streaming, delivery, fitness, and transit credit; 100 $100 credit for Global Entry or TSA PreCheck",,,false,75000,5000,,90,true
fecfaab2c32f3edd5d97eafd8f3f19d6,Travel Rewards,BANK_OF_AMERICA,VISA,BANK_OF_AMERICA,false,0,false,1.5,https://www.bankofamerica.com/credit-cards/products/travel-rewards-credit-card/,https://offeroptimist.com/images/bankofamerica/travel-rewards.png,,,,false,25000,1000,,90,true
98db04658d4deee69293bd67bd2fd341,Unlimited Cash Rewards,BANK_OF_AMERICA,VISA,USD,false,0,false,1.5,https://www.bankofamerica.com/credit-cards/products/unlimited-cash-back-credit-card/,https://offeroptimist.com/images/bankofamerica/unlimited-cash-rewards.png,,,,false,200,1000,,90,true
4f6d71dd4d06ff960cae0990b5efda21,Business Advantage Customized Cash,BANK_OF_AMERICA,MASTERCARD,USD,true,0,false,1.5,https://www.bankofamerica.com/smallbusiness/credit-cards/products/cash-rewards-business-credit-card,https://offeroptimist.com/images/bankofamerica/business-advantage-customized-cash.jpg,,,,false,300,3000,,90,false
a99aa675065459b90144275ac18d9ab1,Business Advantage Unlimited Cash,BANK_OF_AMERICA,MASTERCARD,USD,true,0,false,1.5,https://www.bankofamerica.com/smallbusiness/credit-cards/products/unlimited-cash-rewards-business-credit-card,https://offeroptimist.com/images/bankofamerica/business-advantage-unlimited-cash.webp,,,,false,300,3000,,90,false
1e75cf9ca2ccded9a621d5e8f5630c3c,Business Advantage Travel Rewards,BANK_OF_AMERICA,MASTERCARD,BANK_OF_AMERICA,true,0,false,1.5,https://www.bankofamerica.com/smallbusiness/credit-cards/products/travel-rewards-business-credit-card,https://offeroptimist.com/images/bankofamerica/business-advantage-travel-rewards.webp,,,,false,30000,3000,,90,false
9dce80bda519a8616ca4eb288d7cc693,Platinum Plus,BANK_OF_AMERICA,MASTERCARD,USD,true,0,false,1.5,https://www.bankofamerica.com/smallbusiness/credit-cards/products/platinum-plus-business-credit-card,https://offeroptimist.com/images/bankofamerica/platinum-plus.webp,,,,false,300,3000,,90,false
541d121bd20b148d43a8c896d0de6830,Free Spirit,BANK_OF_AMERICA,MASTERCARD,SPIRIT,false,79,true,1.5,https://www.bankofamerica.com/credit-cards/products/spirit-airlines-credit-card/,https://offeroptimist.com/images/bankofamerica/free-spirit.webp,100 Companion Flight Voucher,,,false,50000,1000,,90,true
bb54057b74adc9514885254a82fd8634,AAdvantage Aviator Red World Elite,BARCLAYS,MASTERCARD,AMERICAN,false,99,false,1,https://cards.barclaycardus.com/banking/cards/aadvantage-aviator-red-world-elite-mastercard/,https://offeroptimist.com/images/barclays/aadvantage-aviator-red-world-elite.png,,,,false,60000,99,,90,true
f2fcdd7db964fb3c55f6df704f5678c8,AARP Essential Rewards,BARCLAYS,MASTERCARD,USD,false,0,false,1,https://www.aarp.org/membership/benefits/finance/aarp-essential-rewards-mastercard-from-barclays/,https://offeroptimist.com/images/barclays/aarp-essential-rewards.png,,,,false,200,1000,,90,true
fc80c887a321dde1faa7e9282c813683,AARP Travel Rewards,BARCLAYS,MASTERCARD,USD,false,0,false,1,https://www.aarp.org/membership/benefits/finance/aarp-travel-rewards-mastercard-from-barclays/,https://offeroptimist.com/images/barclays/aarp-travel-rewards.png,,,,false,200,1000,,90,true
eddb365c3098a64170b9e4fb322b2a05,Carnival World Mastercard,BARCLAYS,MASTERCARD,CARNIVAL,false,0,false,1,https://cards.barclaycardus.com/banking/cards/carnival-world-mastercard/,https://offeroptimist.com/images/barclays/carnival-world-mastercard.png,,,,false,20000,1000,,90,true
990a75f557890d22402183b20a8fe09d,Emirates Skywards Premium World Elite,BARCLAYS,MASTERCARD,EMIRATES,false,499,false,1,https://cards.barclaycardus.com/banking/cards/emirates-skywards-premium-world-elite-mastercard/,https://offeroptimist.com/images/barclays/emirates-skywards-premium-world-elite.png,,,,false,50000,3000,,90,true
e33253806e1da76436e527e3c7b6179d,Emirates Skywards Rewards World Elite,BARCLAYS,MASTERCARD,EMIRATES,false,99,false,1,https://cards.barclaycardus.com/banking/cards/emirates-skywards-rewards-world-elite-mastercard/,https://offeroptimist.com/images/barclays/emirates-skywards-rewards-world-elite.png,,,,false,40000,3000,,90,true
e33d8701c8e81d5befe82ec5ed5cda23,Frontier Airlines World,BARCLAYS,MASTERCARD,FRONTIER,false,89,true,1,https://cards.barclaycardus.com/banking/cards/frontier-airlines-world-mastercard/,https://offeroptimist.com/images/barclays/frontier-airlines-world.png,,,,false,40000,500,,90,true
44effaf95f470d31302d6f366207a543,Hawaiian Airlines World Elite,BARCLAYS,MASTERCARD,HAWAIIAN,false,99,false,1,https://cards.barclaycardus.com/banking/cards/hawaiian-airlines-world-elite-mastercard/,https://offeroptimist.com/images/barclays/hawaiian-airlines-world-elite.png,,,,false,60000,2000,,90,true
d760441e47fada8604f084285fbaeb39,JetBlue,BARCLAYS,MASTERCARD,JETBLUE,false,0,false,1,https://cards.barclaycardus.com/banking/cards/jetblue-card/,https://offeroptimist.com/images/barclays/jetblue.png,,,,false,10000,1000,,90,true
499685453910108ad817d64f9728eb46,JetBlue Business,BARCLAYS,MASTERCARD,JETBLUE,true,99,false,1,https://cards.barclaycardus.com/banking/cards/jetblue-business-card/,https://offeroptimist.com/images/barclays/jetblue-business.png,50 Free checked bag,,,false,50000,2000,,90,false
fafac50a80daae929873eca389fafd15,JetBlue Plus,BARCLAYS,MASTERCARD,JETBLUE,false,99,false,1,https://cards.barclaycardus.com/banking/cards/jetblue-plus-card/,https://offeroptimist.com/images/barclays/jetblue-plus.png,,,,false,70000,1000,,90,true
c7698b8b99a60ae3ccdd4d880ff5fe68,JetBlue Premier,BARCLAYS,MASTERCARD,JETBLUE,false,499,false,1,https://cards.barclaycardus.com/banking/cards/jetblue-premier-card/,https://offeroptimist.com/images/barclays/jetblue-premier.png,"120 $120 credit for Global Entry or TSA PreCheck; 300 $300 credit for Paisly, JetBlue's portal.; 5000 5k yearly anniversary credit",,,false,70000,5000,,90,true
fdd9a5b1485ab0f88d0abd28c32e3b89,Lufthansa Miles & More,BARCLAYS,MASTERCARD,LUFTHANSA,false,89,false,1,https://cards.barclaycardus.com/banking/cards/lufthansa-miles-more-world-elite-mastercard,https://offeroptimist.com/images/barclays/lufthansa-miles-and-more.png,,,,false,50000,3000,,90,true
d0fa846548af110fa31bc7bfa25828df,Upromise,BARCLAYS,MASTERCARD,USD,false,0,false,1,https://cards.barclaycardus.com/banking/cards/upromise-world-mastercard/,https://offeroptimist.com/images/barclays/upromise.png,,,,false,100,500,https://cards.barclaycardus.com/banking/cards/upromise-world-mastercard/,90,true
6496ff471ffd822105f59ea276547110,Wyndham Rewards Earner,BARCLAYS,VISA,WYNDHAM,false,0,false,1,https://www.wyndhamrewardscreditcard.com/#earner,https://offeroptimist.com/images/barclays/wyndham-rewards-earner.svg,,,,false,60000,2000,,90,true
ba9027fba78b5ca88e4d9471aa9e31bd,Wyndham Rewards Earner Business,BARCLAYS,VISA,WYNDHAM,true,95,false,1,https://www.wyndhamrewardscreditcard.com/#earnerbusiness,https://offeroptimist.com/images/barclays/wyndham-rewards-earner-business.png,15000 Anniversary bonus points,,,false,75000,4000,,90,false
b910f422064772c65840288c632cf900,Wyndham Rewards Earner Plus,BARCLAYS,VISA,WYNDHAM,false,75,false,1,https://www.wyndhamrewardscreditcard.com/#earnerplus,https://offeroptimist.com/images/barclays/wyndham-rewards-earner-plus.png,7500 Anniversary bonus points,,,false,90000,2000,,90,true
9cbc127f6a0a485b64a7ddb5ed52d931,Hawaiian Airlines World Elite Business,BARCLAYS,MASTERCARD,HAWAIIAN,true,99,false,1,https://cards.barclaycardus.com/banking/cards/hawaiian-airlines-world-elite-business-mastercard/,https://offeroptimist.com/images/barclays/hawaiian-airlines-world-elite-business.png,99 Hawaiian statement credit,,,false,50000,4000,,90,false
b52f6b684aec5d5b2465c27e6ccd1adc,Breeze,BARCLAYS,VISA,BREEZE,false,89,false,1,https://cards.barclaycardus.com/banking/credit-card/breeze-airways/visa-visa-signature-preferred/partner-banner/d4de94d1-c1da-4237-9eff-df975fb4bb87,https://offeroptimist.com/images/barclays/breeze.png,,,,false,30000,1000,,90,true
