name,issuer,network,currency,offerAmount,offerSpend,offerDays,offerUrl,countsTowards524,details,isBusiness,annualFee,isAnnualFeeWaived,universalCashbackPercent,url,imageUrl,credits
Business Advantage Unlimited Cash,Bank of America,Mastercard,USD,1000,10000,90,https://www.doctorofcredit.com/bank-of-america-business-advantage-unlimited-cash-rewards-1000-signup-bonus-with-10000-spend/,FALSE,,TRUE,0,FALSE,1.5,https://www.bankofamerica.com/smallbusiness/credit-cards/products/unlimited-cash-rewards-business-credit-card/?campaign=4052289~52~en_US,https://offeroptimist.com/images/bankofamerica/business-advantage-unlimited-cash.webp,
Business Advantage Unlimited Cash,Bank of America,Mastercard,USD,300,3000,90,https://www.bankofamerica.com/smallbusiness/credit-cards/products/unlimited-cash-rewards-business-credit-card/,FALSE,,TRUE,0,FALSE,1.5,https://www.bankofamerica.com/smallbusiness/credit-cards/products/unlimited-cash-rewards-business-credit-card/?campaign=4052289~52~en_US,https://offeroptimist.com/images/bankofamerica/business-advantage-unlimited-cash.webp,
Business Advantage Travel Rewards,Bank of America,Mastercard,Bank of America Points,30000,3000,90,https://www.bankofamerica.com/smallbusiness/credit-cards/products/travel-rewards-business-credit-card/?campaign=4053417~2P~en_US,FALSE,,TRUE,0,FALSE,1.5,https://www.bankofamerica.com/smallbusiness/credit-cards/products/travel-rewards-business-credit-card/?campaign=4053417~2P~en_US,https://offeroptimist.com/images/bankofamerica/business-advantage-travel-rewards.webp,
Platinum Plus,Bank of America,Mastercard,USD,300,1000,90,https://www.bankofamerica.com/smallbusiness/credit-cards/products/platinum-plus-business-credit-card/?campaign=4053445~YT~en_US,FALSE,,TRUE,0,FALSE,1.5,https://www.bankofamerica.com/smallbusiness/credit-cards/products/platinum-plus-business-credit-card/?campaign=4053445~YT~en_US,https://offeroptimist.com/images/bankofamerica/platinum-plus.webp,
Free Spirit,Bank of America,Mastercard,Spirit Miles,50000,1000,90,https://www.bankofamerica.com/credit-cards/products/spirit-airlines-credit-card/,TRUE,,FALSE,79,TRUE,1.5,https://www.bankofamerica.com/credit-cards/products/spirit-airlines-credit-card/,https://offeroptimist.com/images/bankofamerica/free-spirit.webp,$100 Companion Flight Voucher
AAdvantage Aviator Red World Elite,Barclays,Mastercard,American AAdvantage Miles,60000,0.01,90,https://cards.barclaycardus.com/banking/cards/aadvantage-aviator-red-world-elite-mastercard/,TRUE,,FALSE,99,TRUE,1,https://cards.barclaycardus.com/banking/cards/aadvantage-aviator-red-world-elite-mastercard/,https://offeroptimist.com/images/barclays/aadvantage-aviator-red-world-elite.png,
AAdvantage Aviator World Elite Business,Barclays,Mastercard,American AAdvantage Miles,60000,2000,90,https://cards.barclaycardus.com/banking/cards/aadvantage-aviator-world-elite-business-mastercard/,FALSE,,TRUE,95,FALSE,1,https://cards.barclaycardus.com/banking/cards/aadvantage-aviator-world-elite-business-mastercard/,https://offeroptimist.com/images/barclays/aadvantage-aviator-world-elite-business.png,$50 First checked bag free
AARP Essential Rewards,Barclays,Mastercard,USD,100,500,90,https://cards.barclaycardus.com/banking/cards/aarp-essential-rewards-mastercard/,TRUE,,FALSE,0,FALSE,1,https://cards.barclaycardus.com/banking/cards/aarp-essential-rewards-mastercard/,https://offeroptimist.com/images/barclays/aarp-essential-rewards.png,
AARP Travel Rewards,Barclays,Mastercard,USD,100,500,90,https://cards.barclaycardus.com/banking/cards/aarp-travel-rewards-mastercard/,TRUE,,FALSE,0,FALSE,1,https://cards.barclaycardus.com/banking/cards/aarp-travel-rewards-mastercard/,https://offeroptimist.com/images/barclays/aarp-travel-rewards.png,
Carnival World Mastercard,Barclays,Mastercard,Carnival Points,25000,500,90,https://cards.barclaycardus.com/banking/cards/carnival-world-mastercard/,TRUE,,FALSE,0,FALSE,1,https://cards.barclaycardus.com/banking/cards/carnival-world-mastercard/,https://offeroptimist.com/images/barclays/carnival-world-mastercard.png,
Emirates Skywards Premium World Elite,Barclays,Mastercard,Emirates Miles,60000,3000,90,https://cards.barclaycardus.com/banking/cards/emirates-skywards-premium-world-elite-mastercard/,TRUE,,FALSE,499,FALSE,1,https://cards.barclaycardus.com/banking/cards/emirates-skywards-premium-world-elite-mastercard/,https://offeroptimist.com/images/barclays/emirates-skywards-premium-world-elite.png,
Emirates Skywards Rewards World Elite,Barclays,Mastercard,Emirates Miles,50000,3000,90,https://cards.barclaycardus.com/banking/cards/emirates-skywards-rewards-world-elite-mastercard/,TRUE,,FALSE,99,FALSE,1,https://cards.barclaycardus.com/banking/cards/emirates-skywards-rewards-world-elite-mastercard/,https://offeroptimist.com/images/barclays/emirates-skywards-rewards-world-elite.png,
Frontier Airlines World,Barclays,Mastercard,Frontier Miles,50000,1000,90,https://cards.barclaycardus.com/banking/cards/frontier-airlines-world-mastercard/,TRUE,,FALSE,89,FALSE,1,https://cards.barclaycardus.com/banking/cards/frontier-airlines-world-mastercard/,https://offeroptimist.com/images/barclays/frontier-airlines-world.png,
Hawaiian Airlines World Elite,Barclays,Mastercard,Hawaiian Miles,60000,2000,90,https://cards.barclaycardus.com/banking/cards/hawaiian-airlines-world-elite-mastercard/,TRUE,,FALSE,99,FALSE,1,https://cards.barclaycardus.com/banking/cards/hawaiian-airlines-world-elite-mastercard/,https://offeroptimist.com/images/barclays/hawaiian-airlines-world-elite.png,
JetBlue,Barclays,Mastercard,JetBlue Miles,10000,1000,90,https://cards.barclaycardus.com/banking/cards/jetblue-card/,TRUE,,FALSE,0,FALSE,1,https://cards.barclaycardus.com/banking/cards/jetblue-card/,https://offeroptimist.com/images/barclays/jetblue.png,
JetBlue Business,Barclays,Mastercard,JetBlue Miles,60000,2000,90,https://cards.barclaycardus.com/banking/cards/jetblue-business-card/,FALSE,,TRUE,99,FALSE,1,https://cards.barclaycardus.com/banking/cards/jetblue-business-card/,https://offeroptimist.com/images/barclays/jetblue-business.png,$50 Free checked bag
JetBlue Plus,Barclays,Mastercard,JetBlue Miles,40000,1000,90,https://cards.barclaycardus.com/banking/cards/jetblue-plus-card/,TRUE,,FALSE,99,FALSE,1,https://cards.barclaycardus.com/banking/cards/jetblue-plus-card/,https://offeroptimist.com/images/barclays/jetblue-plus.png,
Lufthansa Miles & More,Barclays,Mastercard,Lufthansa Miles,80000,3000,90,https://cards.barclaycardus.com/banking/cards/lufthansa-miles-more-world-elite-mastercard/,TRUE,,FALSE,89,FALSE,1,https://cards.barclaycardus.com/banking/cards/lufthansa-miles-more-world-elite-mastercard/,https://offeroptimist.com/images/barclays/lufthansa-miles-and-more.png,
Upromise,Barclays,Mastercard,USD,100,500,90,https://cards.barclaycardus.com/banking/cards/upromise-world-mastercard/,TRUE,,FALSE,0,FALSE,1,https://cards.barclaycardus.com/banking/cards/upromise-world-mastercard/,https://offeroptimist.com/images/barclays/upromise.png,
Wyndham Rewards Earner,Barclays,Visa,Wyndham Points,30000,1000,90,https://cards.barclaycardus.com/banking/cards/wyndham-rewards-earner-card/,TRUE,,FALSE,0,FALSE,1,https://cards.barclaycardus.com/banking/cards/wyndham-rewards-earner-card/,https://offeroptimist.com/images/barclays/wyndham-rewards-earner.svg,
Wyndham Rewards Earner Business,Barclays,Visa,Wyndham Points,45000,2000,90,https://cards.barclaycardus.com/banking/cards/wyndham-rewards-earner-business-card/,FALSE,,TRUE,95,FALSE,1,https://cards.barclaycardus.com/banking/cards/wyndham-rewards-earner-business-card/,https://offeroptimist.com/images/barclays/wyndham-rewards-earner-business.png,
Wyndham Rewards Earner Plus,Barclays,Visa,Wyndham Points,45000,1000,90,https://cards.barclaycardus.com/banking/cards/wyndham-rewards-earner-plus-card/,TRUE,,FALSE,0,FALSE,1,https://cards.barclaycardus.com/banking/cards/wyndham-rewards-earner-plus-card/,https://offeroptimist.com/images/barclays/wyndham-rewards-earner-plus.png,
Hawaiian Airlines World Elite Business,Barclays,Mastercard,Hawaiian Miles,50000,2000,90,https://cards.barclaycardus.com/banking/cards/hawaiian-airlines-world-elite-business-mastercard/,FALSE,,TRUE,99,FALSE,1,https://cards.barclaycardus.com/banking/cards/hawaiian-airlines-world-elite-business-mastercard/,https://offeroptimist.com/images/barclays/hawaiian-airlines-world-elite-business.png,$99 Hawaiian statement credit
Hawaiian Airlines World Elite Business,Barclays,Mastercard,Hawaiian Miles,90000,10000,365,https://cards.barclaycardus.com/banking/cards/hawaiian-airlines-world-elite-business-mastercard/,FALSE,,TRUE,99,FALSE,1,https://cards.barclaycardus.com/banking/cards/hawaiian-airlines-world-elite-business-mastercard/,https://offeroptimist.com/images/barclays/hawaiian-airlines-world-elite-business.png,$99 Hawaiian statement credit
Brex,Brex,Mastercard,Brex Points,10000,3000,90,https://www.brex.com/product/credit-card/,TRUE,,FALSE,0,FALSE,1,https://www.brex.com/product/credit-card/,https://offeroptimist.com/images/brex/brex.png,
Marriott Bonvoy Bountiful,Chase,Visa,Marriott Points,85000,5000,90,https://creditcards.chase.com/travel-credit-cards/marriott-bonvoy/bountiful?iCELL=61GD,TRUE,,FALSE,250,FALSE,1,https://creditcards.chase.com/travel-credit-cards/marriott-bonvoy/bountiful?iCELL=61GD,https://offeroptimist.com/images/chase/marriott-bonvoy-bountiful.png,
Aer Lingus Signature,Chase,Visa,Avios Miles,75000,5000,90,https://creditcards.chase.com/travel-credit-cards/avios/aer-lingus,TRUE,,FALSE,95,FALSE,1,https://creditcards.chase.com/travel-credit-cards/avios/aer-lingus,https://offeroptimist.com/images/chase/aer-lingus-signature.png,
